id	filename	md5	size	state
0019c951-16c5-48d0-85c8-58d96b12d330	0019c951-16c5-48d0-85c8-58d96b12d330/ba295155-272e-43eb-9d6a-e4c9c392e68b.rna_seq.augmented_star_gene_counts.tsv	603d5a827abe6b3f4921f12dbcaeb25b	4251623	validated
0648c6fc-df6d-450a-a5a0-e5655febbdf1	0648c6fc-df6d-450a-a5a0-e5655febbdf1/f532a6be-de3e-420c-960a-23627589e7ad.rna_seq.augmented_star_gene_counts.tsv	e00657cea54665d6777e038af0d8c5f5	4231354	validated
06952c59-978d-4ef4-b716-c55dd6747699	06952c59-978d-4ef4-b716-c55dd6747699/e843a939-f1a2-4e98-87b5-69abef893a51.rna_seq.augmented_star_gene_counts.tsv	15ac8ed43d194b7048c061a0a59aa563	4219617	validated
0877bc64-fbf4-427f-a889-21a4a9102600	0877bc64-fbf4-427f-a889-21a4a9102600/13cc2a80-d6fe-49ff-9868-c9eac6df3c5e.rna_seq.augmented_star_gene_counts.tsv	f2ec56a32acb013c5ceb714b8ddd3ed6	4223933	validated
0c279a15-1250-4923-bcde-96cc3fd32d42	0c279a15-1250-4923-bcde-96cc3fd32d42/b72689a1-2c14-49db-b489-f1627353a024.rna_seq.augmented_star_gene_counts.tsv	bc14210e6d81f961f1e8649597486a8d	4225248	validated
0e89a7ce-aed2-4c74-9bdf-cf50793c73b6	0e89a7ce-aed2-4c74-9bdf-cf50793c73b6/f3f0919f-f9eb-4baf-aeef-c79fbafef237.rna_seq.augmented_star_gene_counts.tsv	57dadb18476b6c1b1781c93e883f7ff7	4250890	validated
104e3cb5-c6df-422b-a55f-6b19408594d4	104e3cb5-c6df-422b-a55f-6b19408594d4/2056c543-2f73-4a2f-995e-3af2dda7b514.rna_seq.augmented_star_gene_counts.tsv	6a9b5ab6f51dce916319b6c2d6930505	4238667	validated
150cf3db-44a8-4553-a648-66913d68adde	150cf3db-44a8-4553-a648-66913d68adde/099445c1-bd35-43ac-ab7e-9a8a9999c9a7.rna_seq.augmented_star_gene_counts.tsv	92ff46a6053021b8417225f4ca399ee6	4228932	validated
15f0e499-8d53-4e97-a392-334875d25cf4	15f0e499-8d53-4e97-a392-334875d25cf4/467bd108-f391-4dd1-92de-43879822400d.rna_seq.augmented_star_gene_counts.tsv	a449648688482afd89a2479495859fd1	4260296	validated
27513ce4-3807-481f-abcb-c59774a90519	27513ce4-3807-481f-abcb-c59774a90519/e682e28e-0611-4e92-899c-637fde17423d.rna_seq.augmented_star_gene_counts.tsv	eff0d5a74dadb4307db0bdc952793a06	4233945	validated
27aab1a6-96af-4dc1-b9ce-4690ead0d355	27aab1a6-96af-4dc1-b9ce-4690ead0d355/39eaa466-f50c-402e-b127-b6b016d0480d.rna_seq.augmented_star_gene_counts.tsv	b7d32e042546f8febe2f7a276e9ee74d	4241441	validated
2d148c3a-7bbd-414f-872e-dd916d0e3ccf	2d148c3a-7bbd-414f-872e-dd916d0e3ccf/bd1f12ab-ee49-4e7e-aad4-14924c49d306.rna_seq.augmented_star_gene_counts.tsv	107ac481b891cc7f897a9b282a72543e	4254315	validated
3eadce70-ba3d-4806-b112-6ac83bc89dc4	3eadce70-ba3d-4806-b112-6ac83bc89dc4/a3595c7e-948b-4d93-a623-477d7af84e15.rna_seq.augmented_star_gene_counts.tsv	56dad300ad3f41c405fe2a0bc9f52f3c	4236836	validated
447e3faf-a5f2-4739-b2aa-c907f33b634a	447e3faf-a5f2-4739-b2aa-c907f33b634a/4f3fa7c5-fe72-4b99-8a4f-9f487efc1ef1.rna_seq.augmented_star_gene_counts.tsv	0c2c06a95afeed8fa3473b357206a390	4254469	validated
4662f2d3-edd6-4260-a4ad-04c46ca54443	4662f2d3-edd6-4260-a4ad-04c46ca54443/960df455-dab8-4c59-9a99-579cdabe4d19.rna_seq.augmented_star_gene_counts.tsv	1c8cc10703d59c360f3a02a99f32036e	4237433	validated
46933fec-1800-4da5-814c-30cce4ae2fb5	46933fec-1800-4da5-814c-30cce4ae2fb5/afd15ee9-ef38-4d14-b1c1-7f4267fe6a04.rna_seq.augmented_star_gene_counts.tsv	7ae7824aaef02fa2c5902b6b08862a3c	4243311	validated
4b96ee43-874c-4fa6-b5ce-08caf37ef2e1	4b96ee43-874c-4fa6-b5ce-08caf37ef2e1/d27304e0-1b0b-4fc3-8e0d-af2c305d30f8.rna_seq.augmented_star_gene_counts.tsv	edbc471815bf00b56272e70251d444fa	4221794	validated
4c941474-f3e0-4735-bad0-cff8894fb08d	4c941474-f3e0-4735-bad0-cff8894fb08d/d474de4c-c01d-46f5-92a6-7513f7a38eed.rna_seq.augmented_star_gene_counts.tsv	55b76a93d57ca890c036fd419fccff4e	4256818	validated
62a4b965-7aaa-4bd4-b469-57a713b2e9fd	62a4b965-7aaa-4bd4-b469-57a713b2e9fd/064d1578-9fb7-439c-9644-d4cb6389ec9d.rna_seq.augmented_star_gene_counts.tsv	613f2feadffe04aecd532ec2c1b9d1d1	4252172	validated
6ac73ea5-48e8-40d8-8383-fa28991813fd	6ac73ea5-48e8-40d8-8383-fa28991813fd/8832d658-24d2-4d12-a025-959d5eed1271.rna_seq.augmented_star_gene_counts.tsv	d4647a9ca39d34a1d37506c1ffa90227	4231860	validated
739fe30a-4fae-4f4d-a360-3ab300a4848a	739fe30a-4fae-4f4d-a360-3ab300a4848a/52064107-3c37-45b1-aa6b-a14a98352f9d.rna_seq.augmented_star_gene_counts.tsv	471ddfc560463bfb4b70b40c18567a9f	4254739	validated
84225715-14a6-423c-a6d6-15558e151f56	84225715-14a6-423c-a6d6-15558e151f56/253aa5dc-9853-462a-9bcd-c2e44817833b.rna_seq.augmented_star_gene_counts.tsv	7c2fae66bc8b2c67e3c385d498f4c4d4	4249569	validated
88a16056-cc45-4fee-99e0-f7fc7e1971df	88a16056-cc45-4fee-99e0-f7fc7e1971df/fdadb011-0da3-458f-8b4e-d09e4c847a5b.rna_seq.augmented_star_gene_counts.tsv	5f17efd16c2d8fb8a331b940061f4150	4242172	validated
895b7107-2c08-4106-b119-6fbb597392da	895b7107-2c08-4106-b119-6fbb597392da/be813beb-9b35-4063-9d61-9f49a7fd7706.rna_seq.augmented_star_gene_counts.tsv	537b7f3a4a4711993bda5cfc653c81a8	4244647	validated
8a7fe670-bcef-4fcb-9759-9892ff5f4f61	8a7fe670-bcef-4fcb-9759-9892ff5f4f61/a7428d3b-f84b-4c2f-a996-14a11af6b6df.rna_seq.augmented_star_gene_counts.tsv	0d687cb5c21070d7f026b730cc1f98e6	4257837	validated
90cb5f76-ec86-4532-8352-e6622ef24980	90cb5f76-ec86-4532-8352-e6622ef24980/01900aab-4c12-4198-b41f-ff638e5abe3b.rna_seq.augmented_star_gene_counts.tsv	68fe192fa67c9924bdcd324dd699a094	4244868	validated
91e43fc0-1bd1-41e3-a828-43ec6620feb6	91e43fc0-1bd1-41e3-a828-43ec6620feb6/1453285a-717a-4ae3-a537-57df2b8e65e2.rna_seq.augmented_star_gene_counts.tsv	59ff0ee93e0c09caa5b69a44a519df48	4250579	validated
